min_year,max_year,mean_abs_error,median_abs_error,vehicle_count,support_level
2024,2024,13.856666666666683,13.856666666666683,1,low_support
2022,2022,13.313333333333333,13.313333333333333,1,low_support
2017,2017,13.276666666666642,13.276666666666642,1,low_support
2026,2026,12.943333333333328,12.943333333333328,1,low_support
2023,2023,12.863333333333344,12.863333333333344,1,low_support
2025,2025,12.833333333333343,12.833333333333343,1,low_support
2024,2024,12.779999999999973,12.779999999999973,1,low_support
2026,2026,12.143333333333317,12.143333333333317,1,low_support
2019,2020,12.13666666666667,12.13666666666667,2,reliable
2025,2025,12.093333333333334,12.093333333333334,1,low_support
2025,2025,12.02666666666667,12.02666666666667,1,low_support
2025,2025,11.99666666666667,11.99666666666667,1,low_support
2025,2025,11.96333333333331,11.96333333333331,1,low_support
2024,2024,11.583333333333343,11.583333333333343,1,low_support
2024,2024,11.439999999999998,11.439999999999998,1,low_support
2025,2025,11.350000000000023,11.350000000000023,1,low_support
2024,2024,11.349999999999994,11.349999999999994,1,low_support
2015,2015,10.900000000000006,10.900000000000006,1,low_support
2025,2025,10.623333333333335,10.623333333333335,1,low_support
2026,2026,10.20999999999998,10.20999999999998,1,low_support
2024,2024,9.596666666666692,9.596666666666692,1,low_support
2026,2026,9.54000000000002,9.54000000000002,1,low_support
2022,2022,9.27000000000001,9.27000000000001,1,low_support
2024,2024,9.196666666666658,9.196666666666658,1,low_support
2026,2026,8.96666666666664,8.96666666666664,1,low_support
2023,2025,8.930000000000007,8.930000000000007,2,reliable
2023,2023,8.850000000000023,8.850000000000023,1,low_support
2025,2025,8.803333333333342,8.803333333333342,1,low_support
2022,2022,8.73333333333332,8.73333333333332,1,low_support
2026,2026,8.310000000000002,8.310000000000002,1,low_support
2024,2024,8.24333333333334,8.24333333333334,1,low_support
2025,2025,8.129999999999995,8.129999999999995,1,low_support
2023,2023,8.083333333333343,8.083333333333343,1,low_support
2024,2025,8.036666666666662,8.036666666666662,2,reliable
2026,2026,7.946666666666658,7.946666666666658,1,low_support
2024,2024,7.946666666666658,7.946666666666658,1,low_support
2021,2021,7.913333333333327,7.913333333333327,1,low_support
2024,2025,7.851666666666688,7.851666666666688,2,reliable
